"iPrex - Recherche traçabilité"
"Filtres : "
Lot;Réception;Origine;Abattoir;Etat
2470308BDE;"6 novembre 2024";;;"En production"
246029DUE219;"6 novembre 2024";;;"En production"
24GE1540BFR;"5 novembre 2024";FRANCE;MAND;"En production"
243039GBR;"26 septembre 2024";BRESIL;CHEVIDECO;"En production"
242939FDNA;"26 septembre 2024";DANEMARK;CHEVIDECO;"En production"
242939FDN;"9 octobre 2024";DANEMARK;CHEVIDECO;"En production"
249538GFRA;"24 octobre 2024";FRANCE;"PEGASE BVS";"En production"
249538GFR;"5 novembre 2024";FRANCE;"PEGASE BVS";"En production"
247033CFR;"16 août 2024";FRANCE;"AGROLINEVOL SRL";"En production"
242932EFRA;"13 août 2024";FRANCE;CHEVIDECO;"En production"
242932EFR;"9 août 2024";FRANCE;CHEVIDECO;"En production"
243032EFNA;"16 août 2024";FINLANDE;CHEVIDECO;"En production"
243032EFN;"9 août 2024";FINLANDE;CHEVIDECO;"En production"
242932EFNA;"13 août 2024";FINLANDE;CHEVIDECO;"En production"
242932EFN;"9 août 2024";FINLANDE;CHEVIDECO;"En production"
247032BFR;"26 août 2024";FRANCE;"AGROLINEVOL SRL";"En production"
2453030BFNA;"24 juillet 2024";FINLANDE;"MEAT PACK INDUSTRIES SRL";"En production"
2453030BFN;"6 août 2024";FINLANDE;"MEAT PACK INDUSTRIES SRL";"En production"
247030BFRA;"29 juillet 2024";FRANCE;"AGROLINEVOL SRL";"En production"
247030BDE;"23 juillet 2024";ALLEMAGNE;"AGROLINEVOL SRL";"En production"
