Fournisseur;Produit;"Tarif (EUR)"
"PROFIL EXPORT";"PIECE A HACHER CHEVAL UE";4.00
"PROFIL EXPORT";"PIECE A HACHER CHEVAL FRANCE  (PETITES POCHES)";4.00
"PROFIL EXPORT";"VIANDE FABRICATION CHEVAL FRAIS";1.50
"PROFIL EXPORT";"BAVETTE ALOYAU CHEVAL FRANCE";4.00
"PROFIL EXPORT";"TRANCHE CARRE CHEVAL SOUS VIDE FRANCE";6.00
"PROFIL EXPORT";"TRANCHE RONDE CHEVAL SOUS VIDE FRANCE";6.00
"PROFIL EXPORT";"ENTRECOTE CHEVAL SOUS VIDE FRANCE";13.50
"PROFIL EXPORT";"CŒUR BOULE MACREUSE SANS CHAPEAU FRANCE";10.00
"PROFIL EXPORT";"TRANCHE CARRE CHEVAL CONGELE FRANCE";6.00
"PROFIL EXPORT";"TRANCHE RONDE CHEVAL CONGELE FRANCE";6.00
"PROFIL EXPORT";"ART8 CHEVAL FACON PROFIL EXPORT FRANCE";12.00
"PROFIL EXPORT";"PIECES A FONDUE CHINOISE CHEVAL FRANCE";8.00
"PROFIL EXPORT";"POITRINE CHEVAL SOUS VIDE FRANCE";6.00
"PROFIL EXPORT";"HAMPE CHEVAL FRANCE";4.00
"PROFIL EXPORT";"PIECE A HACHER CHEVAL";4.00
"PROFIL EXPORT";"CAPAS A/OS CHEVAL FRAIS UE";1.00
"PROFIL EXPORT";"KIT RUMSTECK   ENTRECOTE   FILET CHEVAL SOUS VIDE";12.00
"PROFIL EXPORT";"MENUS DE CHEVAUX SALES VRAC";8.65
"PROFIL EXPORT";"MENUS CHEVAUX CONGELE VRAC";9.00
"PROFIL EXPORT";"TENDON CHEVAL CONGELE";15.00
"PROFIL EXPORT";"CRINS DE QUEUES DE CHEVAL TONDUS";4.00
"PROFIL EXPORT";"VIANDE FABRICATION CHEVAL S/VIDE ESPAGNE";3.00
"PROFIL EXPORT";"TRANCHE RONDE CHEVAL CONGELE ESPAGNE";6.00
"PROFIL EXPORT";"TRANCHE CARRE CHEVAL CONGELE ESPAGNE";6.00
"PROFIL EXPORT";"VIANDE FABRICATION CHEVAL S/VIDE FRANCE";3.00
"PROFIL EXPORT";"PIECE A SECHER CHEVAL S/VIDE CONGELE";6.00
"PROFIL EXPORT";"KIT 5 COUPES A SECHER CHEVAL S/VIDE";6.00
"PROFIL EXPORT";"PETITES PIECES A GRILLER CHEVAL S/VIDE FRANCE";6.00
"PROFIL EXPORT";"PETITES PIECES A GRILLER CHEVAL ESPAGNE";6.00
"PROFIL EXPORT";"PERICARDE EQUIN";5.00
"PROFIL EXPORT";"FILET DE CHEVAL CONGELE UE";10.00
"PROFIL EXPORT";"POITRINE CHEVAL SOUS VIDE CONGELEE FRANCE";6.00
"PROFIL EXPORT";"ENTRECOTE CHEVAL SOUS VIDE ESPAGNE";13.50
"PROFIL EXPORT";"COEUR BOULE MACREUSE CHEVAL S/VIDE ESPAGNE";10.00
"PROFIL EXPORT";"TRANCHE CARRE CHEVAL SOUS VIDE ESPAGNE";6.00
"PROFIL EXPORT";"TRANCHE RONDE CHEVAL SOUS VIDE ESPAGNE";6.00
"PROFIL EXPORT";"POITRINE CHEVAL SOUS VIDE";6.00
"PROFIL EXPORT";"PIECES A FONDUE CHINOISE CHEVAL CONGELE ESPAGNE";8.00
"PROFIL EXPORT";"KIT CUISSE CHEVAL SOUS VIDE";5.00
"PROFIL EXPORT";"ART8 CHEVAL FACON PROFIL EXPORT ESPAGNE";12.00
"PROFIL EXPORT";"SERUM BRUT EQUIN";6.00
"PROFIL EXPORT";"SAINT JOSEPH A PAPA";12.00
"PROFIL EXPORT";"COTE ROTIE A PAPA";22.00
"PROFIL EXPORT";"COTE CHEVAL A/OS X1 CONGELE";12.00
"PROFIL EXPORT";"PRESTATION POULAIN EN CAISSETTE";1.00
"VILLETTE VIANDES";"CUISSOT CHEVREUIL CROSSE SCIEE  SANS L'OS DU QUASI MARINE LS";15.00
"VILLETTE VIANDES";"ROTI CERF MARINE X1 LS";12.20
"VILLETTE VIANDES";"SAUTE CERF SUPERIEUR MARINE LS";8.50
"VILLETTE VIANDES";"ROTI SANGLIER MARINE X1 LS";12.50
"VILLETTE VIANDES";"CUISSOT CHEVREUIL CROSSE SCIEE  SANS L'OS DU QUASI MARINE";15.00
"VILLETTE VIANDES";"CUISSOT SANGLIER S/OS S/JARRET FRAIS";9.50
"VILLETTE VIANDES";"CUISSOT CERF S/OS S/JARRET FRAIS";9.80
"VILLETTE VIANDES";"SAUTE SANGLIER SUPERIEUR MARINE LS";9.50
PEGASE;"SAUCISSON ROUGE CHEVAL";7.30
PEGASE;"ANDOUILLE CHEVAL";10.30
PEGASE;"CHORIZO CHEVAL";7.30
PEGASE;"MORTADELLE CHEVAL";7.30
PEGASE;"SAUCISSON ROUGE COURONNE";7.70
